symbol,market,timeframe,action,strength,confidence,entryTime,exitTime,holdBars,entry,exit,stopLoss,takeProfit,exitReason,rrPlanned,stopDistPct,plannedRisk,realizedRisk,riskKeepRatio,rGrossPlanned,rGrossRealized,rGross,costR,costRBase,rNet,tradeable
XOM,US_STOCK,1D,SELL,moderate,64,1970-05-26T13:30:00.000Z,1970-05-27T13:30:00.000Z,1,1.6015629768371582,1.6463,1.6463,1.512,stop_loss,2.004474272930638,0.02791023559265577,0.044700000000000184,0.044737023162841894,1.0008282586765482,-1.0008282586765482,-1,-1.0008282586765482,0.017914574684979326,0.017914574684979326,-1.0187428333615276,1
BA,US_STOCK,1D,SELL,moderate,64,1970-05-21T13:30:00.000Z,1970-05-28T13:30:00.000Z,5,0.6008229851722717,0.5843619704246521,0.638301,0.525868,time_exit,1.9999733176797048,0.06237777336240571,0.03747800000000001,0.03747801482772828,1.0000003956381949,0.4392180678696735,0.43921789409829876,0.4392180678696735,0.008015675665353963,0.008015675665353963,0.43120239220431955,1
DIS,US_STOCK,1D,SELL,moderate,64,1970-05-22T13:30:00.000Z,1970-05-29T13:30:00.000Z,5,0.5805960297584534,0.5960100293159485,0.628766,0.484257,time_exit,1.9999792401909884,0.08296646468636776,0.048170000000000046,0.04816997024154668,0.9999993822201917,-0.31999168689007895,-0.3199918845746041,-0.31999168689007895,0.006026531344804368,0.006026531344804368,-0.3260182182348833,1
XOM,US_STOCK,1D,BUY,moderate,64,1970-05-28T13:30:00.000Z,1970-05-29T13:30:00.000Z,1,1.675781011581421,1.762,1.6324,1.762,take_profit,3.0883280757097977,0.018916552807866468,0.03169999999999984,0.043381011581420825,1.3684861697609163,2.719841905948882,1.9874822019020157,2.719841905948882,0.026431877154281223,0.026431877154281223,2.6934100287946006,1
BA,US_STOCK,1D,BUY,moderate,64,1970-06-02T13:30:00.000Z,1970-06-02T13:30:00.000Z,0,0.6049379706382751,0.601876,0.601876,0.693121,stop_loss,28.799150881776534,0.005061675987654184,0.003062000000000009,0.00306197063827518,0.9999904109324529,-0.9999904109324529,-1,-0.9999904109324529,0.09878151055491075,0.09878151055491075,-1.0987719214873637,1
KO,US_STOCK,1D,BUY,moderate,58,1970-05-29T13:30:00.000Z,1970-06-05T13:30:00.000Z,5,0.7291669845581055,0.7552080154418945,0.69429,0.798922,time_exit,2.00002867219084,0.04783129343292529,0.03487700000000005,0.034876984558105506,0.9999995572470528,0.7466534072250774,0.7466537378082204,0.7466534072250774,0.010453407468505095,0.010453407468505095,0.7361999997565724,1
DIS,US_STOCK,1D,BUY,moderate,58,1970-06-01T13:30:00.000Z,1970-06-08T13:30:00.000Z,5,0.5960100293159485,0.5979369878768921,0.54385,0.70033,time_exit,1.9999999999999958,0.08751530584118705,0.052160000000000095,0.05216002931594854,1.000000562038889,0.03694322394447086,0.03694320318095399,0.03694322394447086,0.005713286323964221,0.005713286323964221,0.03122993762050664,1
KO,US_STOCK,1D,SELL,moderate,64,1970-06-16T13:30:00.000Z,1970-06-16T13:30:00.000Z,0,0.7239580154418945,0.753302,0.753302,0.717067,stop_loss,0.010626429408154297,0.04952497138679408,0.03585400000000005,0.029343984558105496,0.8184298699756081,-0.8184298699756081,-1,-0.8184298699756081,0.01009591698892583,0.01009591698892583,-0.8285257869645339,1
KO,US_STOCK,1D,BUY,moderate,64,1970-06-17T13:30:00.000Z,1970-06-17T13:30:00.000Z,0,0.7552080154418945,0.756598,0.721726,0.756598,take_profit,0.04151484379666692,0.04433480486883962,0.03348200000000001,0.03348201544189455,1.0000004611998847,0.04151438259678218,0.041514363450362544,0.04151438259678218,0.011277821149302526,0.011277821149302526,0.030236561447479656,1
BA,US_STOCK,1D,BUY,strong,70,1970-06-19T13:30:00.000Z,1970-06-23T13:30:00.000Z,2,0.5102880001068115,0.471487,0.471487,0.58789,stop_loss,2.0000000000000027,0.07603745334375549,0.038800999999999974,0.038801000106811534,1.0000000027528042,-1.0000000027528042,-1,-1.0000000027528042,0.006575706813056517,0.006575706813056517,-1.0065757095658607,1
